binID,lat,lng,type
1,50.84993447,-1.111662239,"Glass bottles and jars"
2,50.84913114,-1.104423008,"Glass bottles and jars, Textiles and shoes"
3,50.85071798,-1.098946607,"Glass bottles and jars, Textiles and shoes"
4,50.8494433,-1.093607063,"Glass bottles and jars"
5,50.84899513,-1.068291766,"Glass bottles and jars, Textiles and shoes"
6,50.84674385,-1.048250782,"Textiles and shoes, Books, DVDs and CDs"
7,50.84735236,-1.03174321,"Glass bottles and jars, Textiles, Plastic pots, tubs and trays"
8,50.8458131,-1.102421824,"Glass bottles and jars, Plastic pots, tubs and trays"
9,50.84531131,-1.096443499,"Textiles and shoes"
10,50.84518056,-1.070157614,"Glass bottles and jars, Textiles and shoes, Plastic pots, tubs and trays, Books, DVDs and CDs"
11,50.8461575,-1.065188405,"Glass bottles and jars"
12,50.84609315,-1.065684614,"Books, DVDs and CDs"
13,50.84518056,-1.070157614,"Glass bottles and jars, Textiles and shoes, Plastic pots, tubs and trays, Books, DVDs and CDs"
14,50.84239019,-1.061971821,"Glass bottles and jars"
15,50.8413185,-1.068318611,"Glass bottles and jars"
16,50.8390731,-1.095193869,"Glass bottles and jars, Textiles and shoes, Books, DVDs and CDs, Batteries, Cardboard, Electrical and electronic items, Wood, Foil, Light bulbs, Garden waste, Furniture, Scrap metal"
17,50.84031337,-1.068041614,"Textiles and shoes, Books, DVDs and CDs"
18,50.84083459,-1.04995029,"Glass bottles and jars, Textiles and shoes, Books, DVDs and CDs"
19,50.8368419,-1.063292101,"Glass bottles and jars, Textiles and shoes"
20,50.83577421,-1.053488265,"Textiles and shoes, Books, DVDs and CDs"
21,50.82931409,-1.075563838,"Glass bottles and jars, Textiles and shoes, Books, DVDs and CDs"
22,50.82851867,-1.06682992,"Glass bottles and jars, Textiles and shoes, Books, DVDs and CDs"
23,50.82603279,-1.047680778,"Glass bottles and jars, Textiles and shoes, Cartons and paper tubes with metal ends, Books, DVDs and CDs"
24,50.82522409,-1.073165361,"Textiles and shoes"
25,50.82579621,-1.078323227,"Glass bottles and jars, Textiles and shoes, Cartons and paper tubes with metal ends, Books, DVDs and CDs, Plastic pots, tubs and trays"
26,50.82326898,-1.090130422,"Glass bottles and jars, Textiles and shoes"
27,50.82286877,-1.074677498,"Textiles and shoes"
28,50.82204917,-1.065240849,"Textiles and shoes, Books, DVDs and CDs"
29,50.82082606,-1.076258016,"Glass bottles and jars"
30,50.81922885,-1.065407146,"Glass bottles and jars, Textiles and shoes, Books, DVDs and CDs, Plastic pots, tubs and trays"
31,50.81959816,-1.083315557,"Textiles and shoes, Books, DVDs and CDs, Plastic pots, tubs and trays"
32,50.81921466,-1.084297174,"Textiles and shoes, Books, DVDs and CDs"
33,50.81772747,-1.064774145,"Textiles and shoes"
34,50.8158169,-1.080421039,"Glass bottles and jars"
